data;valor
01/01/2011;1.3436242353348089
01/04/2011;1.0107608085756461
01/07/2011;-0.2289411338130130
01/10/2011;0.9356446989781642
01/01/2012;-1.4486084730779063
01/04/2012;1.8079846164165341
01/07/2012;1.7379164760639356
01/10/2012;0.0122199622336552
01/01/2013;0.5357754028875510
01/04/2013;1.3896740148308346
01/07/2013;0.4639054947017235
01/10/2013;0.1615510660863742
01/01/2014;0.8502542158508249
01/04/2014;-1.4826197628829705
01/07/2014;-0.0609902647830610
01/10/2014;0.5230402647817967
01/01/2015;-0.7767129106869861
01/04/2015;-2.3696646634298673
01/07/2015;-1.6473639206640489
01/10/2015;-0.7694686931259545
01/01/2016;-1.4313586859181675
01/04/2016;0.2820391506578446
01/07/2016;-0.5501434254928502
01/10/2016;-0.0928733070321568
01/01/2017;1.0132618359527461
01/04/2017;0.8359045149985658
01/07/2017;0.2420597509433798
01/10/2017;0.5418467891583166
01/01/2018;0.5855550226876653
01/04/2018;-0.0947002303177250
01/07/2018;0.9639745353446928
01/10/2018;-0.2682814573825046
01/01/2019;0.3148399134112972
01/04/2019;0.5594465840914896
01/07/2019;0.0189026079018863
01/10/2019;0.8815562757656310
01/01/2020;-2.2818123150530925
01/04/2020;-8.8863912069612123
01/07/2020;7.9203199347872513
01/10/2020;3.8367112454171233
01/01/2021;0.8929079558432201
01/04/2021;-0.7057698548137714
01/07/2021;0.1443854321959441
01/10/2021;1.3134022697932350
01/01/2022;0.7268993350345082
01/04/2022;1.1368529931252027
01/07/2022;1.0605556124441835
01/10/2022;0.3705962145110412
01/01/2023;1.3901604209434495
01/04/2023;0.7951042959265157
01/07/2023;0.1683494538676278
01/10/2023;0.2262470459564441
01/01/2024;0.8057136583541143
01/04/2024;1.7059964633859721
01/07/2024;0.8983107788329905
01/10/2024;-0.1459380477988580
01/01/2025;1.5351450923393142
01/04/2025;0.3203031936418256
01/07/2025;0.1073720740199958
